head_x,head_y,head_z,JAB,JAC,ABC,BCE,JAD,KDE,NIH,MGF,HIC,FGC,label
56.22 ,-128.08 ,644.60 ,57.27 ,58.49 ,174.72 ,59.46 ,59.46 ,55.73 ,128.15 ,55.43 ,80.36 ,89.74 ,forward
112.98 ,-51.02 ,562.20 ,53.21 ,53.18 ,179.86 ,53.33 ,53.33 ,59.17 ,122.59 ,53.24 ,87.62 ,88.44 ,forward
113.02 ,-50.95 ,562.15 ,53.21 ,53.17 ,179.85 ,53.33 ,53.33 ,55.88 ,122.73 ,58.12 ,80.89 ,87.20 ,forward
116.62 ,-44.22 ,554.79 ,53.03 ,52.91 ,179.49 ,53.07 ,53.07 ,59.75 ,119.79 ,52.25 ,79.90 ,85.86 ,forward
86.81 ,-26.58 ,533.27 ,54.39 ,54.22 ,179.18 ,55.41 ,55.41 ,57.58 ,117.53 ,54.11 ,88.45 ,89.11 ,forward
71.32 ,-23.54 ,524.58 ,58.38 ,58.23 ,178.86 ,59.62 ,59.62 ,61.89 ,115.52 ,51.81 ,87.11 ,85.73 ,forward
48.78 ,-9.60 ,509.98 ,65.26 ,64.87 ,173.50 ,65.93 ,65.93 ,59.15 ,115.07 ,54.00 ,86.02 ,87.38 ,forward
23.87 ,-18.67 ,489.59 ,71.86 ,71.76 ,177.29 ,72.82 ,72.82 ,61.87 ,124.13 ,52.08 ,80.79 ,96.35 ,forward
-4.93 ,-5.33 ,433.72 ,76.23 ,76.11 ,172.90 ,76.50 ,76.50 ,58.40 ,124.83 ,55.36 ,84.18 ,89.69 ,forward
18.62 ,-23.48 ,446.94 ,75.11 ,74.97 ,174.04 ,75.31 ,75.31 ,57.99 ,118.11 ,56.40 ,89.58 ,86.79 ,forward
77.58 ,-34.98 ,558.35 ,37.00 ,37.46 ,177.40 ,39.02 ,39.02 ,56.82 ,123.90 ,53.66 ,86.12 ,89.11 ,forward
99.91 ,-37.92 ,582.07 ,32.00 ,32.77 ,177.06 ,35.08 ,35.08 ,62.36 ,117.59 ,55.68 ,85.09 ,87.97 ,forward
119.33 ,-53.55 ,589.84 ,30.40 ,32.13 ,173.80 ,33.78 ,33.78 ,58.47 ,117.59 ,54.86 ,80.71 ,85.85 ,forward
125.93 ,-52.92 ,608.13 ,30.42 ,32.42 ,173.97 ,31.98 ,31.98 ,59.30 ,114.80 ,55.45 ,81.41 ,93.29 ,forward
136.64 ,-56.40 ,619.14 ,33.51 ,34.70 ,176.17 ,35.22 ,35.22 ,56.72 ,122.99 ,56.63 ,87.76 ,91.37 ,forward
147.77 ,-60.97 ,627.09 ,34.92 ,36.24 ,175.67 ,36.64 ,36.64 ,60.70 ,123.14 ,53.21 ,85.00 ,92.78 ,forward
154.35 ,-58.75 ,639.97 ,33.39 ,34.40 ,176.81 ,35.67 ,35.67 ,59.78 ,124.59 ,53.13 ,86.46 ,86.32 ,forward
166.33 ,-59.06 ,659.55 ,33.10 ,33.50 ,178.61 ,35.55 ,35.55 ,60.49 ,122.62 ,56.00 ,87.86 ,89.87 ,forward
116.33 ,-59.63 ,609.33 ,37.22 ,39.09 ,173.41 ,37.79 ,37.79 ,56.73 ,121.39 ,56.77 ,81.12 ,90.83 ,forward
104.42 ,-37.75 ,596.34 ,36.17 ,36.89 ,177.14 ,38.85 ,38.85 ,60.70 ,119.08 ,56.89 ,86.13 ,88.10 ,forward
104.49 ,-40.33 ,602.44 ,36.99 ,37.84 ,176.67 ,39.44 ,39.44 ,56.37 ,122.21 ,54.41 ,85.52 ,87.45 ,forward
104.53 ,-38.17 ,601.57 ,37.16 ,38.07 ,176.24 ,39.71 ,39.71 ,57.38 ,121.26 ,55.12 ,89.36 ,87.34 ,forward
121.46 ,0.99 ,592.74 ,38.18 ,38.00 ,179.15 ,38.17 ,38.17 ,59.65 ,124.20 ,56.62 ,84.23 ,95.82 ,forward
118.99 ,2.50 ,591.06 ,38.28 ,38.08 ,179.06 ,38.31 ,38.31 ,61.59 ,114.53 ,55.97 ,85.79 ,96.02 ,forward
101.77 ,0.72 ,601.06 ,41.95 ,41.63 ,178.01 ,42.65 ,42.65 ,56.66 ,121.06 ,56.77 ,80.91 ,94.83 ,forward
100.48 ,-44.93 ,619.36 ,41.19 ,43.37 ,171.78 ,42.82 ,42.82 ,59.51 ,125.95 ,54.41 ,80.92 ,93.70 ,forward
98.96 ,-58.21 ,624.82 ,42.79 ,44.83 ,172.17 ,44.99 ,44.99 ,56.70 ,119.23 ,55.22 ,86.87 ,93.22 ,forward
90.32 ,-62.41 ,633.48 ,48.43 ,48.64 ,178.96 ,49.96 ,49.96 ,58.69 ,126.19 ,53.50 ,88.30 ,94.64 ,forward
88.02 ,-75.48 ,644.37 ,51.17 ,51.19 ,179.86 ,52.77 ,52.77 ,62.20 ,114.69 ,52.05 ,88.66 ,91.62 ,forward
80.27 ,-84.94 ,644.69 ,51.27 ,52.58 ,173.80 ,54.27 ,54.27 ,59.59 ,123.33 ,54.37 ,88.17 ,89.54 ,forward
79.83 ,-86.67 ,643.11 ,51.36 ,52.68 ,173.78 ,54.46 ,54.46 ,61.67 ,123.07 ,52.83 ,86.77 ,96.02 ,forward
93.43 ,-58.79 ,625.27 ,54.18 ,53.98 ,178.86 ,55.07 ,55.07 ,58.95 ,124.54 ,53.93 ,80.58 ,93.91 ,forward
108.22 ,-37.18 ,612.00 ,49.17 ,49.89 ,176.72 ,50.27 ,50.27 ,59.99 ,118.31 ,54.70 ,81.90 ,95.27 ,forward
121.08 ,-30.19 ,602.24 ,48.40 ,48.91 ,177.66 ,49.02 ,49.02 ,57.32 ,119.24 ,52.63 ,84.14 ,91.53 ,forward
123.87 ,-33.73 ,590.47 ,47.84 ,48.83 ,174.85 ,48.91 ,48.91 ,61.29 ,118.34 ,52.33 ,86.83 ,86.55 ,forward
117.74 ,-5.63 ,580.04 ,46.81 ,47.13 ,177.83 ,48.05 ,48.05 ,60.27 ,119.64 ,57.85 ,87.61 ,87.16 ,forward
115.70 ,-25.32 ,593.12 ,47.72 ,48.73 ,175.38 ,48.61 ,48.61 ,61.30 ,122.77 ,53.60 ,88.96 ,93.05 ,forward
109.51 ,-54.75 ,617.44 ,46.59 ,48.67 ,172.05 ,46.40 ,46.40 ,57.85 ,118.26 ,58.11 ,87.34 ,93.86 ,forward
100.94 ,-59.20 ,634.01 ,47.46 ,49.45 ,172.01 ,48.47 ,48.47 ,59.25 ,115.00 ,58.12 ,85.68 ,95.01 ,forward
96.66 ,-75.79 ,651.08 ,49.40 ,50.07 ,176.82 ,51.60 ,51.60 ,61.94 ,121.66 ,52.84 ,89.67 ,86.83 ,forward
93.70 ,-100.92 ,665.19 ,52.68 ,52.86 ,179.12 ,54.84 ,54.84 ,57.98 ,115.49 ,54.22 ,84.85 ,92.18 ,forward
96.62 ,-104.33 ,666.77 ,52.59 ,53.20 ,177.08 ,54.94 ,54.94 ,57.35 ,114.89 ,51.70 ,84.68 ,94.36 ,forward
97.08 ,-90.42 ,660.77 ,53.35 ,53.78 ,177.67 ,55.59 ,55.59 ,60.47 ,128.20 ,56.43 ,86.65 ,86.35 ,forward
97.08 ,-69.63 ,643.98 ,54.20 ,53.73 ,177.73 ,55.00 ,55.00 ,59.93 ,119.36 ,56.93 ,89.34 ,90.31 ,forward
111.53 ,-64.25 ,614.59 ,54.91 ,54.66 ,178.54 ,55.27 ,55.27 ,57.18 ,115.85 ,55.01 ,87.48 ,91.17 ,forward
109.03 ,-44.06 ,616.15 ,54.20 ,53.76 ,177.36 ,53.38 ,53.38 ,57.55 ,120.56 ,52.04 ,88.50 ,93.58 ,forward
118.27 ,-47.14 ,610.12 ,54.16 ,53.66 ,177.14 ,52.15 ,52.15 ,61.05 ,121.81 ,52.46 ,81.46 ,93.27 ,forward
128.56 ,-48.15 ,600.96 ,53.64 ,52.53 ,173.29 ,51.82 ,51.82 ,59.99 ,126.76 ,54.04 ,89.17 ,93.09 ,forward
124.48 ,-26.31 ,606.91 ,52.28 ,51.29 ,174.92 ,50.52 ,50.52 ,58.51 ,126.32 ,54.94 ,80.18 ,90.22 ,forward
120.50 ,-20.37 ,616.06 ,49.91 ,48.98 ,175.67 ,48.47 ,48.47 ,55.73 ,114.67 ,57.99 ,83.83 ,93.28 ,forward
115.20 ,-16.76 ,611.00 ,48.55 ,48.10 ,177.74 ,47.88 ,47.88 ,59.21 ,122.90 ,54.33 ,87.62 ,86.84 ,forward
118.08 ,-22.08 ,620.28 ,47.85 ,47.40 ,177.84 ,47.16 ,47.16 ,55.97 ,126.96 ,55.74 ,81.05 ,96.12 ,forward
102.25 ,-13.14 ,604.53 ,47.11 ,46.87 ,178.63 ,46.30 ,46.30 ,61.34 ,127.29 ,55.73 ,86.86 ,93.71 ,forward
99.92 ,-5.94 ,607.65 ,47.70 ,47.15 ,176.26 ,47.36 ,47.36 ,58.67 ,121.50 ,58.04 ,82.10 ,86.86 ,forward
95.25 ,-4.55 ,612.54 ,49.50 ,48.98 ,176.02 ,48.94 ,48.94 ,59.41 ,122.34 ,57.90 ,81.66 ,87.75 ,forward
98.73 ,-10.77 ,611.45 ,49.01 ,48.41 ,175.89 ,48.41 ,48.41 ,60.41 ,126.89 ,54.80 ,88.75 ,93.85 ,forward
97.30 ,-12.74 ,606.78 ,48.78 ,48.37 ,177.62 ,49.06 ,49.06 ,59.46 ,125.42 ,55.89 ,81.33 ,87.58 ,forward
104.30 ,-7.31 ,613.46 ,48.41 ,47.95 ,177.33 ,47.68 ,47.68 ,60.39 ,124.17 ,57.52 ,84.96 ,96.39 ,forward
141.84 ,-23.05 ,612.15 ,48.90 ,48.29 ,176.04 ,48.50 ,48.50 ,55.87 ,123.55 ,53.93 ,88.83 ,87.80 ,forward
141.59 ,-27.20 ,610.93 ,49.04 ,48.46 ,176.21 ,48.77 ,48.77 ,62.07 ,116.46 ,52.20 ,86.49 ,93.19 ,forward
138.70 ,-27.46 ,611.95 ,49.17 ,48.60 ,176.36 ,48.89 ,48.89 ,57.83 ,127.94 ,57.94 ,86.87 ,85.89 ,forward
139.44 ,-27.43 ,611.33 ,49.15 ,48.58 ,176.35 ,48.85 ,48.85 ,55.69 ,122.23 ,54.63 ,81.76 ,94.29 ,forward
138.48 ,-23.55 ,610.73 ,49.77 ,49.37 ,177.65 ,49.54 ,49.54 ,59.27 ,121.10 ,57.95 ,81.10 ,94.87 ,forward
139.57 ,-22.89 ,612.40 ,50.42 ,50.25 ,178.97 ,50.52 ,50.52 ,60.11 ,116.12 ,52.53 ,81.72 ,87.75 ,forward
126.76 ,-17.86 ,621.59 ,50.51 ,50.46 ,179.71 ,50.57 ,50.57 ,56.69 ,125.20 ,53.45 ,85.46 ,87.08 ,forward
168.16 ,-1.31 ,532.18 ,51.79 ,51.70 ,179.22 ,52.19 ,52.19 ,60.21 ,124.89 ,58.27 ,84.77 ,87.97 ,forward
104.60 ,-2.27 ,606.91 ,50.18 ,49.93 ,178.18 ,49.98 ,49.98 ,56.70 ,113.89 ,55.79 ,81.85 ,94.39 ,forward
99.36 ,-25.88 ,629.95 ,50.52 ,50.18 ,178.01 ,50.27 ,50.27 ,59.17 ,117.07 ,57.53 ,87.30 ,95.05 ,forward
82.94 ,-6.76 ,646.20 ,49.43 ,48.88 ,177.14 ,46.85 ,46.85 ,59.71 ,126.12 ,52.13 ,89.46 ,93.25 ,forward
97.74 ,-0.78 ,631.18 ,45.93 ,45.41 ,176.78 ,45.72 ,45.72 ,58.57 ,126.54 ,55.00 ,88.33 ,95.32 ,forward
100.59 ,-51.17 ,666.73 ,43.48 ,43.33 ,179.20 ,43.46 ,43.46 ,59.66 ,125.76 ,56.12 ,81.66 ,94.43 ,forward
87.24 ,-12.36 ,665.30 ,43.47 ,43.15 ,177.82 ,44.20 ,44.20 ,61.59 ,114.04 ,52.39 ,82.64 ,95.34 ,forward
86.36 ,-8.42 ,654.35 ,43.78 ,43.42 ,177.61 ,44.13 ,44.13 ,58.48 ,121.06 ,52.81 ,88.22 ,92.19 ,forward
90.48 ,10.26 ,652.57 ,44.41 ,44.02 ,176.84 ,44.88 ,44.88 ,60.17 ,114.85 ,54.55 ,81.63 ,89.89 ,forward
